index;chave;repeticoes;colisoes
282;;;
283;;;
284;;;
285;;;
286;;;
287;;;
288;;;
289;;;
290;;;
291;;;
292;;;
293;;;
294;;;
295;;;
296;;;
297;;;
298;;;
299;;;
300;;;
301;;;
302;;;
303;;;
304;;;
305;;;
306;;;
307;;;
308;;;
309;;;
310;;;
311;;;
312;;;
313;;;
314;;;
315;;;
316;;;
317;;;
318;;;
319;;;
320;;;
321;;;
322;;;
323;;;
324;;;
325;;;
326;;;
327;;;
328;;;
329;;;
330;;;
331;;;
332;;;
333;;;
334;;;
335;;;
336;;;
337;;;
338;;;
339;;;
340;;;
341;;;
342;;;
343;;;
344;;;
345;;;
346;;;
347;;;
348;;;
349;;;
350;;;
351;;;
352;;;
353;;;
354;;;
355;;;
356;;;
357;;;
358;;;
359;;;
360;;;
361;;;
362;;;
363;;;
364;;;
365;;;
366;;;
367;;;
368;;;
369;;;
370;;;
371;;;
372;;;
373;;;
374;;;
375;;;
376;;;
377;;;
378;;;
379;;;
380;;;
381;;;
382;;;
383;;;
384;;;
385;;;
386;;;
387;;;
388;;;
389;;;
390;;;
391;;;
392;;;
393;;;
394;;;
395;;;
396;;;
397;;;
398;;;
399;;;
400;;;
401;;;
402;;;
403;;;
404;;;
405;;;
406;;;
407;;;
408;;;
409;;;
410;;;
411;;;
412;;;
413;;;
414;;;
415;;;
416;;;
417;;;
418;;;
419;;;
420;;;
421;;;
422;;;
423;;;
424;;;
425;;;
426;;;
427;;;
428;;;
429;;;
430;;;
431;;;
432;;;
433;;;
434;;;
435;;;
436;;;
437;;;
438;;;
439;;;
440;;;
441;;;
442;;;
443;;;
444;;;
445;;;
446;;;
447;;;
448;;;
449;;;
450;;;
451;;;
452;;;
453;;;
454;;;
455;;;
456;;;
457;;;
458;;;
459;;;
460;;;
461;;;
462;;;
463;;;
464;;;
465;;;
466;;;
467;;;
468;;;
469;;;
470;;;
471;;;
472;;;
473;;;
474;;;
475;;;
476;;;
477;;;
478;;;
479;;;
480;;;
481;;;
482;;;
483;;;
484;;;
485;;;
486;;;
487;;;
488;;;
489;;;
490;;;
491;;;
492;;;
493;;;
494;;;
495;;;
496;;;
497;;;
498;;;
499;;;
500;;;
501;;;
502;;;
503;;;
504;;;
505;;;
506;;;
507;;;
508;;;
509;;;
510;;;
511;;;
512;;;
513;;;
514;;;
515;;;
516;;;
517;;;
518;;;
519;;;
520;;;
521;;;
522;;;
523;;;
524;;;
525;;;
526;;;
527;;;
528;;;
529;;;
530;;;
531;;;
532;;;
533;mensaes;1;4
534;;;
535;;;
536;;;
537;;;
538;;;
539;;;
540;;;
541;;;
542;;;
543;;;
544;;;
545;;;
546;;;
547;;;
548;;;
549;;;
550;;;
551;;;
552;;;
553;;;
554;;;
555;;;
556;;;
557;;;
558;;;
559;;;
560;;;
561;;;
562;;;
563;;;
564;;;
565;;;
566;;;
567;;;
568;;;
569;;;
570;;;
571;;;
572;;;
573;;;
574;;;
575;;;
576;;;
577;;;
578;;;
579;;;
580;;;
581;;;
582;;;
583;;;
584;;;
585;;;
586;;;
587;;;
588;;;
589;;;
590;;;
591;;;
592;;;
593;;;
594;;;
595;;;
596;;;
597;;;
598;;;
599;;;
600;;;
601;;;
602;;;
603;;;
604;;;
605;;;
606;;;
607;;;
608;;;
609;;;
610;;;
611;;;
612;;;
613;;;
614;;;
615;;;
616;;;
617;;;
618;;;
619;;;
620;;;
621;;;
622;;;
623;;;
624;;;
625;;;
626;;;
627;;;
628;;;
629;;;
630;;;
631;;;
632;;;
633;;;
634;;;
635;;;
636;;;
637;;;
638;;;
639;;;
640;;;
641;;;
642;;;
643;;;
644;;;
645;;;
646;;;
647;;;
648;;;
649;;;
650;;;
651;;;
652;;;
653;;;
654;;;
655;;;
656;;;
657;;;
658;;;
659;;;
660;;;
661;;;
662;;;
663;;;
664;;;
665;;;
666;;;
667;;;
668;;;
669;;;
670;;;
671;;;
672;;;
673;;;
674;;;
675;;;
676;;;
677;;;
678;;;
679;;;
680;;;
681;;;
682;;;
683;;;
684;;;
685;;;
686;;;
687;;;
688;;;
689;;;
690;;;
691;;;
692;;;
693;;;
694;;;
695;;;
696;;;
697;;;
698;;;
699;;;
700;;;
701;;;
702;;;
703;;;
704;;;
705;;;
706;;;
707;;;
708;;;
709;;;
710;;;
711;;;
712;;;
713;;;
714;;;
715;;;
716;;;
717;;;
718;;;
719;;;
720;;;
721;;;
722;;;
723;;;
724;;;
725;;;
726;;;
727;;;
728;;;
729;;;
730;;;
731;;;
732;;;
733;;;
734;;;
735;;;
736;;;
737;;;
738;;;
739;;;
740;;;
741;;;
742;;;
743;;;
744;;;
745;;;
746;;;
747;;;
748;;;
749;;;
750;;;
751;;;
752;;;
753;;;
754;;;
755;;;
756;;;
757;;;
758;;;
759;;;
760;;;
761;;;
762;;;
763;;;
764;;;
765;;;
766;;;
767;;;
768;;;
769;;;
770;;;
771;;;
772;;;
773;;;
774;;;
775;;;
776;;;
777;;;
778;;;
779;;;
780;;;
781;;;
782;;;
783;;;
784;;;
785;;;
786;;;
787;;;
788;;;
789;;;
790;;;
791;;;
792;;;
793;;;
794;;;
795;;;
796;;;
797;;;
798;;;
799;;;
800;;;
801;;;
802;;;
803;;;
804;;;
805;;;
806;;;
807;;;
808;;;
809;;;
810;;;
811;;;
812;;;
813;;;
814;;;
815;;;
816;;;
817;;;
818;;;
819;;;
820;;;
821;;;
822;;;
823;;;
824;;;
825;;;
826;;;
827;;;
828;;;
829;;;
830;;;
831;;;
832;;;
833;;;
834;;;
835;;;
836;;;
837;;;
838;;;
839;;;
840;;;
841;;;
842;;;
843;;;
844;;;
845;;;
846;;;
847;;;
848;;;
849;;;
850;;;
851;;;
852;;;
853;;;
854;;;
855;;;
856;;;
857;;;
858;;;
859;;;
860;;;
861;;;
862;;;
863;;;
864;;;
865;;;
866;;;
867;;;
868;;;
869;;;
870;;;
871;;;
872;;;
873;;;
874;;;
875;;;
876;;;
877;;;
878;;;
879;;;
880;;;
881;;;
882;;;
883;;;
884;;;
885;;;
886;;;
887;;;
888;;;
889;;;
890;;;
891;;;
892;;;
893;;;
894;;;
895;;;
896;;;
897;;;
898;;;
899;;;
900;;;
901;;;
902;;;
903;;;
904;;;
905;;;
906;;;
907;;;
908;;;
909;;;
910;;;
911;;;
912;;;
913;;;
914;;;
915;;;
916;;;
917;;;
918;;;
919;;;
920;;;
921;;;
922;;;
923;;;
924;;;
925;;;
926;;;
927;;;
928;;;
929;;;
930;;;
931;;;
932;;;
933;;;
934;;;
935;;;
936;;;
937;;;
938;;;
939;;;
940;;;
941;;;
942;;;
943;;;
944;;;
945;;;
946;;;
947;;;
948;;;
949;;;
950;;;
951;;;
952;;;
953;;;
954;;;
955;;;
956;;;
957;;;
958;;;
959;;;
960;;;
961;;;
962;;;
963;;;
964;;;
965;;;
966;;;
967;;;
968;;;
969;;;
970;;;
971;;;
972;;;
973;;;
974;;;
975;;;
976;;;
977;;;
978;;;
979;;;
980;;;
981;cada;24;0
982;dada;3;0
983;;;
984;fada;3;0
985;;;
986;;;
987;;;
988;;;
989;;;
990;;;
991;cabe;2;0
992;nada;132;0
993;;;
994;;;
995;acha;10;0
996;;;
997;fica;23;2
998;bebe;1;0
999;;;
1000;;;
1001;;;
1002;hade;1;0
1003;paga;4;0
1004;haja;3;0
1005;anda;11;8
1006;dala;2;0
1007;made;2;42
1008;cama;23;7
1009;rica;1;5
1010;graa;28;0
1011;cana;1;2
1012;saia;6;0
1013;leia;2;0
1014;meia;9;0
1015;lage;1;3
1016;vida;85;2
1017;capa;2;0
1018;pede;6;0
1019;moda;6;6
1020;lana;1;3
1021;sala;41;25
1022;;;
1023;doce;19;69
1024;fila;2;30
1025;doia;2;0
1026;casa;169;133
1027;olha;9;1
1028;alma;39;6
1029;ella;185;3
1030;data;3;37
1031;cabo;11;2
1032;pena;9;24
1033;fuga;1;3
1034;mame;56;6
1035;onde;41;6
1036;para;542;51
1037;free;9;14
1038;rara;2;12
1039;abre;2;4
1040;unia;1;22
1041;marc;2;2
1042;amam;2;21
1043;feij;1;12
1044;eden;1;13
1045;elle;239;13
1046;date;3;37
1047;sabo;1;5
1048;hoje;19;6
1049;manh;25;8
1050;pude;19;6
1051;acho;12;15
1052;afim;5;12
1053;gole;2;10
1054;fora;31;2
1055;medo;24;12
1056;have;7;141
1057;alli;35;0
1058;aces;4;7
1059;lico;14;9
1060;deve;5;9
1061;dias;191;14
1062;lido;5;19
1063;nome;20;60
1064;essa;20;22
1065;xiii;2;14
1066;algo;4;3
1067;esta;95;5
1068;vexa;1;26
1069;loua;3;27
1070;qual;13;56
1071;give;4;12
1072;felo;3;5
1073;taes;25;3
1074;oxal;1;38
1075;modo;30;9
1076;atar;1;31
1077;mano;4;19
1078;mais;340;7
1079;caro;5;43
1080;esse;25;39
1081;jogo;3;0
1082;todo;50;95
1083;trem;6;183
1084;tive;28;10
1085;duas;51;25
1086;umas;12;80
1087;mudo;2;17
1088;velo;9;10
1089;frio;5;16
1090;nove;6;4
1091;anno;29;25
1092;como;372;57
1093;with;48;9
1094;aqui;87;194
1095;roer;1;6
1096;emoo;9;17
1097;vocs;4;1
1098;nero;2;4
1099;this;49;30
1100;suas;33;9
1101;copo;2;5
1102;vivi;3;18
1103;veiu;37;19
1104;tero;5;26
1105;alto;16;4
1106;quer;31;3
1107;tres;32;4
1108;volo;1;3
1109;pois;58;4
1110;away;2;16
1111;they;3;46
1112;porm;19;8
1113;ento;101;91
1114;maus;1;8
1115;erro;6;0
1116;amou;1;0
1117;moro;1;9
1118;razo;34;0
1119;laws;10;49
1120;cros;3;8
1121;sexo;3;0
1122;meus;60;7
1123;esto;10;11
1124;isso;60;7
1125;gsto;2;0
1126;vivo;8;14
1127;isto;91;1
1128;seus;58;3
1129;muro;13;4
1130;cost;3;22
1131;ouro;10;3
1132;puro;9;2
1133;dous;61;1
1134;xxvi;2;3
1135;gozo;1;9
1136;know;1;1
1137;;;
1138;soou;3;0
1139;ests;3;4
1140;most;5;3
1141;copy;12;2
1142;;;
1143;lxix;2;0
1144;;;
1145;luiz;2;0
1146;very;1;0
1147;xxiv;2;0
1148;usou;1;0
1149;;;
1150;quiz;61;10
1151;;;
1152;must;10;0
1153;;;
1154;;;
1155;xxix;2;0
1156;;;
1157;;;
1158;;;
1159;;;
1160;;;
1161;;;
1162;;;
1163;;;
1164;;;
1165;;;
1166;jury;1;1
1167;;;
1168;;;
1169;;;
1170;;;
1171;cxxv;2;0
1172;;;
1173;;;
1174;;;
1175;;;
1176;;;
1177;;;
1178;;;
1179;cxxx;2;0
1180;lxxv;2;0
1181;;;
1182;;;
1183;truz;1;0
1184;;;
1185;;;
1186;;;
1187;;;
1188;lxxx;2;0
1189;;;
1190;;;
1191;;;
1192;xxxv;2;0
1193;;;
1194;;;
1195;;;
1196;;;
1197;;;
1198;;;
1199;;;
1200;;;
1201;;;
1202;;;
1203;;;
1204;;;
1205;;;
1206;;;
1207;;;
1208;;;
1209;;;
1210;;;
1211;;;
1212;;;
1213;;;
1214;;;
1215;;;
1216;;;
1217;;;
1218;;;
1219;;;
1220;;;
1221;;;
1222;;;
1223;;;
1224;;;
1225;;;
1226;;;
1227;;;
1228;;;
1229;;;
1230;;;
1231;;;
1232;;;
1233;;;
1234;;;
1235;;;
1236;;;
1237;;;
1238;;;
1239;;;
1240;;;
1241;;;
1242;;;
1243;;;
1244;;;
1245;;;
1246;;;
1247;;;
1248;;;
1249;;;
1250;;;
1251;;;
1252;;;
1253;;;
1254;;;
1255;;;
1256;;;
1257;;;
1258;;;
1259;;;
1260;;;
1261;;;
1262;;;
1263;;;
1264;;;
1265;;;
1266;;;
1267;;;
1268;;;
1269;;;
1270;;;
1271;;;
1272;;;
1273;;;
1274;;;
1275;;;
1276;;;
1277;;;
1278;;;
1279;;;
1280;;;
1281;;;
1282;;;
1283;;;
1284;;;
1285;;;
1286;;;
1287;;;
1288;;;
1289;;;
1290;;;
1291;;;
1292;;;
1293;;;
1294;;;
1295;;;
1296;;;
1297;;;
1298;;;
1299;;;
1300;;;
1301;;;
1302;;;
1303;;;
1304;;;
1305;;;
1306;;;
1307;;;
1308;;;
1309;;;
1310;;;
1311;;;
1312;;;
1313;;;
1314;;;
1315;;;
1316;;;
1317;;;
1318;;;
1319;;;
1320;;;
1321;;;
1322;;;
1323;;;
1324;;;
1325;;;
1326;;;
1327;;;
1328;;;
1329;;;
1330;;;
1331;;;
1332;;;
1333;;;
1334;;;
1335;;;
1336;;;
1337;;;
1338;;;
1339;;;
1340;;;
1341;;;
1342;;;
1343;;;
1344;;;
1345;;;
1346;;;
1347;;;
1348;;;
1349;;;
1350;;;
1351;;;
1352;;;
1353;;;
1354;;;
1355;;;
1356;;;
1357;;;
1358;;;
1359;;;
1360;;;
1361;;;
1362;;;
1363;;;
1364;;;
1365;;;
1366;;;
1367;;;
1368;;;
1369;;;
1370;;;
1371;;;
1372;;;
1373;;;
1374;;;
1375;;;
1376;;;
1377;;;
1378;;;
1379;;;
1380;;;
1381;;;
1382;;;
1383;;;
1384;;;
1385;;;
1386;;;
1387;;;
1388;;;
1389;;;
1390;;;
1391;;;
1392;;;
1393;;;
1394;;;
1395;;;
1396;;;
1397;;;
1398;;;
1399;;;
1400;;;
1401;;;
1402;;;
1403;;;
1404;;;
1405;;;
1406;;;
1407;;;
1408;;;
1409;;;
1410;;;
1411;;;
1412;;;
1413;;;
1414;;;
1415;;;
1416;;;
1417;;;
1418;;;
1419;;;
1420;;;
1421;;;
1422;;;
1423;;;
1424;;;
1425;;;
1426;;;
1427;;;
1428;;;
1429;;;
1430;;;
1431;;;
1432;;;
1433;;;
1434;;;
1435;;;
1436;;;
1437;;;
1438;;;
1439;;;
1440;;;
1441;;;
1442;;;
1443;;;
1444;;;
1445;;;
1446;;;
1447;;;
1448;;;
1449;;;
1450;;;
1451;;;
1452;;;
1453;;;
1454;;;
1455;;;
1456;;;
1457;;;
1458;;;
1459;;;
1460;;;
1461;;;
1462;;;
1463;acaba;2;0
1464;;;
1465;;;
1466;;;
1467;;;
1468;;;
1469;;;
1470;;;
1471;;;
1472;;;
1473;;;
1474;;;
1475;;;
1476;cabea;63;0
1477;;;
1478;;;
1479;;;
1480;;;
1481;;;
1482;;;
1483;;;
1484;;;
1485;;;
1486;;;
1487;;;
1488;;;
1489;alada;2;0
1490;vacca;4;0
1491;ameaa;5;3
1492;cabia;3;0
1493;caida;1;0
1494;;;
1495;secca;3;0
1496;;;
1497;edade;21;1
1498;bocca;36;0
1499;;;
1500;;;
1501;idade;1;1
1502;fraca;1;0
1503;banca;2;0
1504;;;
1505;redea;2;1
1506;cedia;1;0
1507;chega;4;0
1508;sabia;27;1
1509;saida;9;3
1510;;;
1511;barba;1;1
1512;;;
1513;ideia;81;1
1514;toada;8;0
1515;cheia;14;0
1516;;;
1517;magia;1;0
1518;manda;3;0
1519;pedia;7;8
1520;place;1;0
1521;falha;1;0
1522;ainda;140;0
1523;chefe;1;2
1524;cerca;3;0
1525;atade;2;0
1526;frade;1;0
1527;amiga;26;0
1528;viaja;1;3
1529;abane;3;1
1530;ardia;1;0
1531;acima;2;2
1532;;;
1533;linda;1;18
1534;manha;6;0
1535;creia;4;33
1536;achei;30;24
1537;filha;33;8
1538;mande;6;1
1539;podia;72;6
1540;drama;2;7
1541;check;4;37
1542;ficam;1;0
1543;della;83;14
1544;digna;2;5
1545;velha;17;5
1546;andei;4;0
1547;clara;9;5
1548;subia;3;22
1549;falei;8;17
1550;minha;342;24
1551;venha;6;0
1552;desde;32;5
1553;cuide;1;22
1554;aonde;2;10
1555;nunca;44;6
1556;pegam;3;4
1557;tarde;54;201
1558;troca;5;14
1559;vinha;29;59
1560;andao;1;3
1561;perde;5;34
1562;copia;3;3
1563;delle;42;8
1564;seria;37;4
1565;teria;12;26
1566;amanh;21;10
1567;ficar;27;136
1568;beber;3;29
1569;penna;8;16
1570;touca;2;25
1571;criei;2;26
1572;faces;2;12
1573;vilhe;3;25
1574;calva;1;2
1575;datam;1;48
1576;prima;64;8
1577;deram;5;294
1578;falar;52;5
1579;creem;1;35
1580;natal;2;50
1581;dizia;27;34
1582;deixa;9;15
1583;crime;2;6
1584;damas;2;20
1585;cheio;11;28
1586;poeta;12;61
1587;vivia;20;22
1588;treme;1;43
1589;tanta;4;53
1590;emfim;13;35
1591;where;5;6
1592;certa;13;49
1593;meigo;1;11
1594;laura;2;38
1595;arido;1;25
1596;salas;1;48
1597;amigo;44;41
1598;tomam;2;22
1599;foram;25;18
1600;conta;7;3
1601;chapo;4;140
1602;homem;69;34
1603;verme;5;37
1604;cesar;7;98
1605;tinta;3;75
1606;nesta;5;77
1607;muita;30;155
1608;poder;16;21
1609;ebook;13;69
1610;espao;7;29
1611;under;6;57
1612;desse;1;20
1613;vindo;9;30
1614;plano;9;21
1615;world;2;78
1616;noite;42;30
1617;using;6;193
1618;fitar;2;4
1619;tenho;29;36
1620;disse;119;64
1621;fundo;11;31
1622;vista;17;91
1623;quasi;35;21
1624;curta;8;28
1625;cezar;1;91
1626;daqui;19;55
1627;vinte;17;34
1628;mundo;37;23
1629;other;16;367
1630;dever;7;68
1631;calor;10;37
1632;reuse;2;32
1633;subir;5;6
1634;outra;139;107
1635;moocs;2;93
1636;fazer;42;154
1637;assim;158;39
1638;nomes;11;72
1639;flres;2;30
1640;jurar;4;16
1641;grato;1;7
1642;rapaz;10;76
1643;vulgo;1;13
1644;antes;87;36
1645;iamos;14;11
1646;trote;1;21
1647;mesmo;119;12
1648;tempo;121;25
1649;falou;17;22
1650;dizer;87;28
1651;choro;4;17
1652;pegou;8;10
1653;razes;4;10
1654;tiver;5;27
1655;esses;7;16
1656;bispo;7;45
1657;todos;72;29
1658;olhos;166;63
1659;tanto;67;34
1660;menos;48;10
1661;gasto;1;26
1662;preto;13;47
1663;velos;2;7
1664;favor;19;7
1665;vezes;37;2
1666;youll;2;103
1667;assis;4;3
1668;olhou;11;1
1669;gesto;45;24
1670;disso;11;17
1671;terms;21;7
1672;rasos;4;0
1673;cxliv;2;3
1674;start;3;27
1675;perto;20;5
1676;nariz;5;6
1677;muito;151;24
1678;pariz;1;1
1679;irmos;2;1
1680;altos;2;59
1681;;;
1682;fumos;1;0
1683;livro;31;31
1684;nisto;12;5
1685;vozes;9;3
1686;servo;3;33
1687;parts;2;4
1688;risos;1;0
1689;gosto;31;21
1690;curso;2;3
1691;propr;1;0
1692;nosso;37;19
1693;levou;8;12
1694;posso;22;5
1695;porto;6;1
1696;sexos;1;8
1697;texto;12;8
1698;posto;23;10
1699;torto;1;1
1700;rosto;18;1
1701;vivos;1;0
1702;morou;2;1
1703;suppr;1;0
1704;outro;106;23
1705;ossos;2;8
1706;viuvo;2;0
1707;;;
1708;estou;27;1
1709;notou;2;2
1710;surto;1;1
1711;jurou;2;0
1712;;;
1713;susto;8;3
1714;;;
1715;;;
1716;;;
1717;xxxvi;2;2
1718;lxxiv;2;0
1719;cxxix;2;0
1720;;;
1721;;;
1722;;;
1723;;;
1724;;;
1725;;;
1726;;;
1727;;;
1728;lxxix;2;0
1729;;;
1730;xxxiv;2;0
1731;;;
1732;;;
1733;;;
1734;;;
1735;puxou;2;1
1736;;;
1737;;;
1738;;;
1739;;;
1740;xxxix;2;0
1741;;;
1742;;;
1743;;;
1744;;;
1745;;;
1746;;;
1747;;;
1748;;;
1749;;;
1750;;;
1751;;;
1752;;;
1753;;;
1754;;;
1755;expuz;1;0
1756;;;
1757;;;
1758;;;
1759;;;
1760;;;
1761;;;
1762;;;
1763;;;
1764;;;
1765;;;
1766;;;
1767;;;
1768;;;
1769;cxxxv;2;0
1770;;;
1771;;;
1772;;;
1773;;;
1774;;;
1775;;;
1776;;;
1777;;;
1778;lxxxv;2;0
1779;;;
1780;;;
1781;;;
1782;;;
1783;;;
1784;;;
1785;;;
1786;;;
1787;;;
1788;;;
1789;;;
1790;;;
1791;;;
1792;;;
1793;;;
1794;;;
1795;;;
1796;;;
1797;;;
1798;;;
1799;;;
1800;;;
1801;;;
1802;;;
1803;;;
1804;;;
1805;;;
1806;;;
1807;;;
1808;;;
1809;;;
1810;;;
1811;;;
1812;;;
1813;;;
1814;;;
1815;;;
1816;;;
1817;;;
1818;;;
1819;;;
1820;;;
1821;;;
1822;;;
1823;;;
1824;;;
1825;;;
1826;;;
1827;;;
1828;;;
1829;;;
1830;;;
1831;;;
1832;;;
1833;;;
1834;;;
1835;;;
1836;;;
1837;;;
1838;;;
1839;;;
1840;;;
1841;;;
1842;;;
1843;;;
1844;;;
1845;;;
1846;;;
1847;;;
1848;;;
1849;;;
1850;;;
1851;;;
1852;;;
1853;;;
1854;;;
1855;;;
1856;;;
1857;;;
1858;;;
1859;;;
1860;;;
1861;;;
1862;;;
1863;;;
1864;;;
1865;;;
1866;;;
1867;;;
1868;;;
1869;;;
1870;;;
1871;;;
1872;;;
1873;;;
1874;;;
1875;;;
1876;;;
1877;;;
1878;;;
1879;;;
1880;;;
1881;;;
1882;;;
1883;;;
1884;;;
1885;;;
1886;;;
1887;;;
1888;;;
1889;;;
1890;;;
1891;;;
1892;;;
1893;;;
1894;;;
1895;;;
1896;;;
1897;;;
1898;;;
1899;;;
1900;;;
1901;;;
1902;;;
1903;;;
1904;;;
1905;;;
1906;;;
1907;;;
1908;;;
1909;;;
1910;;;
1911;;;
1912;;;
1913;;;
1914;;;
1915;;;
1916;;;
1917;;;
1918;;;
1919;;;
1920;;;
1921;;;
1922;;;
1923;;;
1924;;;
1925;;;
1926;;;
1927;;;
1928;;;
1929;;;
1930;;;
1931;;;
1932;;;
1933;;;
1934;;;
1935;;;
1936;;;
1937;;;
1938;;;
1939;;;
1940;;;
1941;;;
1942;;;
1943;;;
1944;;;
1945;;;
1946;;;
1947;;;
1948;;;
1949;;;
1950;;;
1951;;;
1952;;;
1953;;;
1954;;;
1955;;;
1956;;;
1957;;;
1958;;;
1959;;;
1960;;;
1961;;;
1962;;;
1963;;;
1964;;;
1965;;;
1966;;;
1967;;;
1968;;;
1969;;;
1970;;;
1971;;;
1972;;;
1973;;;
1974;;;
1975;;;
1976;;;
1977;;;
1978;;;
1979;;;
1980;;;
1981;;;
1982;;;
1983;;;
1984;;;
1985;;;
1986;;;
1987;;;
1988;;;
1989;;;
1990;;;
1991;;;
1992;;;
1993;;;
1994;face;2;0
1995;;;
1996;;;
1997;;;
1998;;;
1999;;;
2000;;;
2001;;;
2002;;;
2003;;;
2004;;;
2005;;;
2006;;;
2007;;;
2008;;;
2009;;;
2010;cede;2;6
2011;;;
2012;;;
2013;;;
2014;sabe;23;19
2015;;;
2016;fala;6;1
2017;;;
2018;vaga;4;1
2019;;;
2020;;;
2021;;;
2022;pega;1;1
2023;;;
2024;;;
2025;;;
2026;;;
2027;;;
2028;;;
2029;;;
2030;mala;1;2
2031;;;
2032;fela;1;1
2033;;;
2034;;;
2035;;;
2036;;;
2037;;;
2038;onda;2;4
2039;;;
2040;caam;3;0
2041;;;
2042;ande;8;17
2043;;;
2044;;;
2045;;;
2046;cara;35;34
2047;;;
2048;cima;18;12
2049;;;
2050;;;
2051;;;
2052;dahi;10;123
2053;;;
2054;lake;1;0
2055;;;
2056;aria;1;5
2057;;;
2058;nuca;2;1
2059;;;
2060;iame;2;35
2061;;;
2062;muda;2;0
2063;;;
2064;dera;8;16
2065;;;
2066;fria;2;1
2067;;;
2068;pedi;6;0
2069;;;
2070;toga;1;5
2071;;;
2072;dava;22;29
2073;;;
2074;obra;12;2
2075;;;
2076;dado;9;3
2077;;;
2078;real;1;3
2079;;;
2080;vale;13;9
2081;;;
2082;voce;2;0
2083;rabeca;2;0
2084;agua;6;15
2085;;;
2086;olhe;9;3
2087;calada;2;0
2088;lava;1;13
2089;;;
2090;cedo;9;4
2091;;;
2092;lado;27;11
2093;canada;1;0
2094;mude;1;4
2095;;;
2096;fita;2;4
2097;chalaa;1;0
2098;alta;7;7
2099;;;
2100;fere;2;5
2101;pediaa;1;0
2102;pdem;7;9
2103;cidade;12;1
2104;pare;1;11
2105;;;
2106;fico;1;9
2107;;;
2108;casada;7;2
2109;;;
2110;alva;2;10
2111;;;
2112;eram;105;37
2113;acabei;7;11
2114;rapada;2;1
2115;;;
2116;vira;4;3
2117;achala;1;2
2118;pago;1;9
2119;pataca;1;0
2120;rita;1;8
2121;;;
2122;brao;10;4
2123;;;
2124;amar;5;14
2125;;;
2126;feio;15;46
2127;;;
2128;falo;3;19
2129;;;
2130;vago;4;12
2131;boneca;1;0
2132;arco;2;1
2133;pegala;1;0
2134;branca;1;5
2135;padeci;1;0
2136;gamo;5;28
2137;recebi;5;42
2138;paes;8;28
2139;;;
2140;viva;6;51
2141;lucida;1;4
2142;boas;7;7
2143;marcha;4;2
2144;emenda;3;5
2145;faalhe;1;0
2146;rapida;4;6
2147;acabar;19;2
2148;nova;25;19
2149;bainha;1;1
2150;comida;1;26
2151;licena;6;1
